app       , args                                                      , ranks, quartz , ruby   , lassen, borax , boraxo, corona-cpu, dane  , mammoth, matrix-cpu, matrix-gpu, tioga-cpu, tioga-gpu, tuolumne-cpu, tuolumne-gpu
kripke.exe, "--niter10--pmethodsweep--groups32--legendre0--procs4,4,2", 32   , 1.0    , 1.4479 ,       ,       ,       ,           , 0.2215, 0.1782 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups32--legendre1              , 1    , 1.0    , 2.1252 , 1.1409,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups32--legendre1--procs4,4,2", 32   , 1.0    , 1.4628 ,       ,       ,       ,           , 0.2584, 0.2141 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups32--legendre2              , 1    , 1.0    , 2.0897 , 1.4276,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups32--legendre2--procs4,4,2", 32   , 1.0    , 1.409  ,       ,       ,       ,           , 0.3367, 0.2856 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups32--legendre3              , 1    , 1.0    , 2.0284 , 1.8049,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups32--legendre3--procs4,4,2", 32   , 1.0    , 1.8848 ,       ,       ,       ,           , 0.4017, 0.521  ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups32--legendre4              , 1    , 1.0    , 2.0598 , 2.4138,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.1543
kripke.exe, "--niter10--pmethodsweep--groups32--legendre4--procs4,4,2", 32   , 1.0    , 1.3593 ,       ,       ,       ,           , 0.4087, 0.4631 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups8--legendre0               , 1    , 1.0    , 1.8813 , 0.2384,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups8--legendre0--procs4,4,2" , 32   , 1.0    , 1.649  ,       ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups8--legendre1               , 1    , 1.0    , 2.0763 , 0.3032,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups8--legendre1--procs4,4,2" , 32   , 1.0    , 1.6079 ,       ,       ,       ,           , 0.1024,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups8--legendre2               , 1    , 1.0    , 2.1172 , 0.3972,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups8--legendre2--procs4,4,2" , 32   , 1.0    , 1.6947 ,       ,       ,       ,           , 0.1185,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups8--legendre3               , 1    , 1.0    , 2.121  , 0.6046,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups8--legendre3--procs4,4,2" , 32   , 1.0    , 1.5821 ,       ,       ,       ,           , 0.1365, 0.1079 ,           ,           ,          ,          ,             , 
kripke.exe, --niter10--pmethodsweep--groups8--legendre4               , 1    , 1.0    , 2.2308 , 0.7445,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter10--pmethodsweep--groups8--legendre4--procs4,4,2" , 32   , 1.0    , 1.4258 ,       ,       ,       ,           , 0.1615, 0.131  ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups16--legendre0                 , 1    , 1.0    , 2.2489 , 0.3889,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups16--legendre0--procs4,4,2"   , 32   , 1.0    , 1.4226 ,       ,       ,       ,           , 0.1387, 0.1525 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups16--legendre1                 , 1    , 1.0    , 2.0667 , 0.5146,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups16--legendre1--procs4,4,2"   , 32   , 1.0    , 1.4176 ,       ,       ,       ,           , 0.1509, 0.1783 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups16--legendre2                 , 1    , 1.0    , 2.1393 , 0.6855,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups16--legendre2--procs4,4,2"   , 32   , 1.0    , 1.4174 ,       ,       ,       ,           , 0.175 , 0.2201 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups16--legendre3                 , 1    , 1.0    , 2.1823 , 0.924 ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
